times,voltages
0,18
0,0
0,0
0,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
3,0
3,0
6,0
11,0
17,0
23,0
29,0
35,0
43,0
49,0
55,0
61,0
67,0
73,0
79,0
86,0
92,0
98,0
104,0
112,0
119,0
126,0
134,0
141,0
148,0
155,0
162,0
169,0
178,0
185,0
192,0
199,0
206,0
214,0
221,0
228,0
235,0
243,0
250,0
258,0
265,0
272,0
279,0
286,0
293,0
301,0
309,0
316,0
323,0
330,0
337,0
345,0
352,0
359,0
366,0
374,0
381,0
389,0
396,0
403,0
410,0
417,0
424,0
432,0
439,0
447,0
454,0
461,0
468,0
476,0
483,0
490,0
497,0
504,0
513,0
520,0
527,0
534,0
541,0
548,0
556,0
563,0
570,0
578,0
585,0
592,0
600,0
607,0
614,0
621,0
628,0
635,0
644,0
651,0
658,0
665,0
672,0
679,0
687,0
694,0
701,0
709,0
716,0
723,0
731,0
738,0
745,0
752,0
759,0
766,0
775,0
782,0
789,0
796,0
803,0
811,0
818,0
825,0
832,0
840,0
847,0
855,0
862,0
869,0
876,0
883,0
890,0
898,0
905,0
913,0
920,0
927,0
934,0
942,0
949,0
956,0
963,0
970,0
978,0
986,0
993,0
1000,0
1008,0
1016,0
1025,0
1033,0
1042,0
1050,0
1058,0
1067,0
1075,0
1083,0
1091,0
1099,0
1108,0
1117,0
1125,0
1133,0
1141,0
1149,0
1158,0
1166,0
1175,0
1183,0
1191,0
1200,0
1208,0
1216,0
1224,0
1232,0
1242,0
1250,0
1258,0
1266,0
1274,0
1283,0
1291,0
1299,0
1308,0
1316,0
1325,0
1333,0
1341,0
1349,0
1357,0
1366,0
1375,0
1383,0
1391,0
1399,0
1408,0
1416,0
1424,0
1432,0
1441,0
1449,0
1458,0
1466,0
1474,0
1482,0
1490,0
1499,0
1508,0
1516,0
1524,0
1532,0
1541,0
1549,0
1557,0
1565,0
1574,0
1583,0
1591,0
1599,0
1607,0
1615,0
1624,0
1632,0
1641,0
1649,0
1657,0
1666,0
1674,0
1682,0
1690,0
1698,0
1708,0
1716,0
1724,0
1732,0
1740,0
1748,0
1757,0
1765,0
1774,0
1782,0
1790,0
1799,0
1807,0
1815,0
1823,0
1831,0
1841,0
1849,0
1857,0
1865,0
1873,0
1882,0
1890,0
1898,0
1907,0
1915,0
1924,0
1932,0
1940,0
1948,0
1956,0
1965,0
1974,0
1982,0
1990,0
1998,0
2007,0
2015,0
2023,0
2031,0
2040,0
2049,0
2057,0
2065,0
2073,0
2081,0
2089,0
2098,0
2107,0
2115,0
2123,0
2131,0
2140,0
2148,0
2156,0
2164,0
2173,0
2182,0
2190,0
2198,0
2206,0
2214,0
2223,0
2231,0
2240,0
2248,0
2256,0
2265,0
2273,0
2281,0
2289,0
2297,0
2307,0
2315,0
2323,0
2331,0
2339,0
2348,0
2356,0
2364,0
2373,0
2381,0
2390,0
2398,0
2406,0
2414,0
2422,0
2430,0
2440,0
2448,0
2456,0
2464,0
2472,0
2481,0
2489,0
2497,0
2506,0
2514,0
2523,0
2531,0
2539,0
2547,0
2555,0
2564,0
2573,0
2581,0
2589,0
2597,0
2606,0
2614,0
2622,0
2630,0
2639,0
2648,0
2656,0
2664,0
2672,0
2680,0
2689,0
2697,0
2706,0
2714,0
2722,0
2731,0
2739,0
2747,0
2755,0
2763,0
2772,0
2781,0
2789,0
2797,0
2805,0
2813,0
2822,0
2830,0
2839,0
2847,0
2855,0
2864,0
2872,0
2880,0
2888,0
2896,0
2906,0
2914,0
2922,0
2930,0
2938,0
2947,0
2955,0
2963,0
2972,0
2980,0
2989,0
2997,0
3005,0
3013,0
3021,0
3030,0
3039,0
3047,0
3055,0
3063,0
3072,0
3080,0
3088,0
3096,0
3105,0
3113,0
3122,0
3130,0
3138,0
3146,0
3154,0
3163,0
3172,0
3180,0
3188,0
3196,0
3205,0
3213,0
3221,0
3229,0
3238,0
3247,0
3255,0
3263,0
3271,0
3279,0
3288,0
3296,0
3305,0
3313,0
3321,0
3330,0
3338,0
3346,0
3354,0
3362,0
3372,0
3380,0
3388,0
3396,0
3404,0
3412,0
3421,0
3429,0
3438,0
3446,0
3454,0
3463,0
3471,0
3479,0
3487,0
3495,0
3505,0
3513,0
3521,0
3529,0
3537,0
3546,0
3554,0
3562,0
3571,0
3579,0
3588,0
3596,0
3604,0
3612,0
3620,0
3629,0
3638,0
3646,0
3654,0
3662,0
3671,0
3679,0
3687,0
3695,0
3704,0
3713,0
3721,0
3729,0
3737,0
3745,0
3753,0
3762,0
3771,1
3779,0
3787,0
3795,0
3804,0
3812,0
3820,0
3828,0
3837,0
3846,0
3854,0
3862,0
3870,0
3878,0
3887,0
3895,0
3904,0
3912,0
3920,0
3929,0
3937,0
3945,0
3953,0
3961,0
3971,0
3979,0
3987,0
3995,0
4003,0
4012,0
4020,0
4028,0
4037,0
4045,0
4054,0
4062,0
4070,0
4078,0
4086,0
4094,0
4104,0
4112,0
4120,0
4128,0
4136,0
4145,0
4153,0
4161,0
4170,0
4178,0
4187,0
4195,0
4203,0
4211,0
4219,0
4228,0
4237,0
4245,0
4253,0
4261,0
4270,0
4278,0
4286,0
4294,0
4303,0
4312,0
4320,0
4328,0
4336,0
4344,0
4353,0
4361,0
4370,0
4378,0
4386,0
4395,0
4403,0
4411,0
4419,0
4427,0
4436,0
4445,0
4453,0
4461,0
4469,0
4477,0
4486,0
4494,0
4503,0
4511,0
4519,0
4528,0
4536,0
4544,0
4552,0
4560,0
4570,0
4578,0
4586,0
4594,0
4602,0
4611,0
4619,0
4627,0
4636,0
4644,0
4653,0
4661,0
4669,0
4677,0
4685,0
4694,0
4703,0
4711,0
4719,0
4727,0
4736,0
4744,0
4752,0
4760,0
4769,0
4777,0
4786,0
4794,0
4802,0
4810,0
4818,0
4827,0
4836,0
4844,0
4852,0
4860,0
4869,0
4877,0
4885,0
4893,0
4902,0
4911,0
4919,0
4927,0
4935,0
4943,0
4952,0
4960,0
4969,0
4977,0
4985,0
4994,0
5002,0
5010,0
5018,0
5026,0
5036,0
5044,0
5052,0
5060,0
5068,0
5076,0
5085,0
5093,0
5102,0
5110,0
5118,0
5127,0
5135,0
5143,0
5151,0
5159,0
5169,0
5177,0
5185,0
5193,0
5201,0
5210,0
5218,0
5226,0
5235,0
5243,0
5252,0
5260,0
5268,0
5276,0
5284,0
5293,0
5302,0
5310,0
5318,0
5326,0
5335,0
5343,0
5351,0
5359,0
5368,0
5377,0
5385,0
5393,0
5401,0
5409,0
5417,0
5426,0
5435,0
5443,0
5451,0
5459,0
5468,0
5476,0
5484,0
5492,0
5501,0
5510,0
5518,0
5526,0
5534,0
5542,0
5551,0
5559,0
5568,0
5576,0
5584,0
5593,0
5601,0
5609,0
5617,0
5625,0
5635,0
5643,0
5651,0
5659,0
5667,0
5676,0
5684,0
5692,0
5701,0
5709,0
5718,0
5726,0
5734,0
5742,0
5750,0
5758,0
5768,0
5776,0
5784,0
5792,0
5800,0
5809,0
5817,0
5825,0
5834,0
5842,0
5851,0
5859,0
5867,0
5875,0
5883,0
5892,0
5901,0
5909,0
5917,0
5925,0
5934,0
5942,0
5950,0
5958,0
5967,0
5976,0
5984,0
5992,0
6000,0
6008,0
6017,0
6025,0
6034,0
6042,0
6050,0
6059,0
6067,0
6075,0
6083,0
6091,0
6100,0
6109,0
6117,0
6125,0
6133,0
6141,0
6150,0
6158,0
6167,0
6175,0
6183,0
6192,0
6200,0
6208,0
6216,0
6224,0
6234,0
6242,0
6250,0
6258,0
6266,0
6275,0
6283,0
6291,0
6300,0
6308,0
6317,0
6325,0
6333,0
6341,0
6349,0
6358,0
6367,0
6375,0
6383,0
6391,0
6400,0
6408,0
6416,0
6424,0
6433,0
6441,0
6450,0
6458,0
6466,0
6474,0
6482,0
6491,0
6500,0
6508,0
6516,0
6524,0
6533,0
6541,0
6549,0
6557,0
6566,0
6575,0
6583,0
6591,0
6599,0
6607,0
6616,0
6624,0
6633,0
6641,0
6649,0
6658,0
6666,0
6674,0
6682,0
6690,0
6700,0
6708,0
6716,0
6724,0
6732,0
6740,0
6749,0
6757,0
6766,0
6774,0
6782,0
6791,0
6799,0
6807,0
6815,0
6823,0
6833,0
6841,0
6849,0
6857,0
6865,0
6874,0
6882,0
6890,0
6899,0
6907,0
6916,0
6924,0
6932,0
6940,0
6948,0
6957,0
6966,0
6974,0
6982,0
6990,0
6999,0
7007,0
7015,0
7023,0
7032,0
7041,0
7049,0
7057,0
7065,0
7073,0
7081,0
7090,0
7099,0
7107,0
7115,0
7123,0
7132,0
7140,0
7148,0
7156,0
7165,0
7174,0
7182,0
7190,0
7198,0
7206,0
7215,0
7223,0
7232,0
7240,0
7248,0
7257,0
7265,0
7273,0
7281,0
7289,0
7299,0
7307,0
7315,0
7323,0
7331,0
7340,0
7348,0
7356,0
7365,0
7373,0
7382,0
7390,0
7398,0
7406,0
7414,0
7422,0
7432,0
7440,0
7448,0
7456,0
7464,0
7473,0
7481,0
7489,0
7498,0
7506,0
7515,0
7523,0
7531,0
7539,0
7547,0
7556,0
7565,0
7573,0
7581,0
7589,0
7598,0
7606,0
7614,0
7622,0
7631,0
7640,0
7648,0
7656,0
7664,0
7672,0
7681,0
7689,0
7698,0
7706,0
7714,0
7723,0
7731,0
7739,0
7747,0
7755,0
7764,0
7773,0
7781,0
7789,0
7797,0
7805,0
7814,0
7822,0
7831,0
7839,0
7847,0
7856,0
7864,0
7872,0
7880,0
7888,0
7898,0
7906,0
7914,0
7922,0
7930,0
7939,0
7947,0
7955,0
7964,0
7972,0
7981,0
7989,0
7997,0
8005,0
8013,0
8022,0
8031,0
8039,0
8047,0
8055,0
8064,0
8072,0
8080,0
8088,0
8097,0
8105,0
8114,0
8122,0
8130,0
8138,0
8146,0
8155,0
8164,0
8172,0
8180,0
8188,0
8197,0
8205,0
8213,0
8221,0
8230,0
8239,0
8247,0
8255,0
8263,0
8271,0
8280,0
8288,0
